Ano,Mês,País Importado,Produto,UF Importadora,Via,FOB (US$)
2020,5,Alemanha,Plásticos e suas obras,Paraná,AEREA,"178.501,00"
2020,4,Reino Unido,Obras diversas de metais comuns,Paraná,MARITIMA,"178.412,00"
2020,1,República Dominicana,Chumbo e suas obras,Santa Catarina,MARITIMA,"178.375,00"
2020,10,Polônia,Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo,Paraná,MARITIMA,"178.366,00"
2020,5,Indonésia,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"178.363,00"
2020,10,México,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Santa Catarina,MARITIMA,"178.345,00"
2020,9,Rússia,Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).,Santa Catarina,MARITIMA,"178.277,00"
2020,6,Estados Unidos,Plásticos e suas obras,Rio Grande do Sul,AEREA,"178.272,00"
2020,5,Hong Kong,Obras diversas de metais comuns,Paraná,MARITIMA,"178.238,00"
2020,8,Estados Unidos,Plásticos e suas obras,Rio Grande do Sul,AEREA,"178.217,00"
2020,11,Coreia do Sul,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Santa Catarina,MARITIMA,"178.186,00"
2020,6,Argentina,Produtos químicos orgânicos,Rio Grande do Sul,MARITIMA,"178.149,00"
2020,7,Argentina,Produtos químicos orgânicos,Rio Grande do Sul,MARITIMA,"178.149,00"
2020,5,Uruguai,Cacau e suas preparações,Santa Catarina,RODOVIARIA,"178.082,00"
2020,3,República Dominicana,Chumbo e suas obras,Santa Catarina,MARITIMA,"177.981,00"
2020,9,Chile,Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal,Rio Grande do Sul,RODOVIARIA,"177.904,00"
2020,9,Reino Unido,Borracha e suas obras,Paraná,MARITIMA,"177.824,00"
2020,9,Bélgica,Preparações alimentícias diversas,Paraná,MARITIMA,"177.752,00"
2020,6,Espanha,Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever,Paraná,MARITIMA,"177.740,00"
2020,2,Argentina,Armas e munições; suas partes e acessórios,Rio Grande do Sul,MARITIMA,"177.673,00"
2020,2,Chile,Obras diversas de metais comuns,Rio Grande do Sul,RODOVIARIA,"177.655,00"
2020,12,Argentina,Armas e munições; suas partes e acessórios,Rio Grande do Sul,MARITIMA,"177.630,00"
2020,10,Finlândia,Plásticos e suas obras,Santa Catarina,MARITIMA,"177.617,00"
2020,1,Espanha,Produtos cerâmicos,Santa Catarina,MARITIMA,"177.566,00"
2020,11,Estados Unidos,Algodão,Santa Catarina,MARITIMA,"177.382,00"
2020,5,Reino Unido,Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas,Paraná,MARITIMA,"177.316,00"
2020,8,Argentina,Armas e munições; suas partes e acessórios,Rio Grande do Sul,MARITIMA,"177.303,00"
2020,8,Peru,Obras diversas,Paraná,MARITIMA,"177.200,00"
2020,2,China,Instrumentos musicais; suas partes e acessórios,Paraná,MARITIMA,"177.067,00"
2020,3,Polônia,Plásticos e suas obras,Paraná,MARITIMA,"177.027,00"
2020,9,Uruguai,Produtos farmacêuticos,Rio Grande do Sul,RODOVIARIA,"177.022,00"
2020,12,Romênia,Borracha e suas obras,Paraná,MARITIMA,"176.998,00"
2020,9,Emirados Árabes Unidos,Plásticos e suas obras,Rio Grande do Sul,MARITIMA,"176.953,00"
2020,1,Polônia,Obras diversas de metais comuns,Rio Grande do Sul,MARITIMA,"176.950,00"
2020,2,Taiwan (Formosa),Obras diversas de metais comuns,Santa Catarina,MARITIMA,"176.872,00"
2020,9,Tunísia,Frutas; cascas de frutos cítricos e de melões,Santa Catarina,MARITIMA,"176.840,00"
2020,11,Alemanha,Borracha e suas obras,Santa Catarina,AEREA,"176.794,00"
2020,2,Hungria,Plásticos e suas obras,Santa Catarina,MARITIMA,"176.788,00"
2020,11,Estados Unidos,Filamentos sintéticos ou artificiais,Santa Catarina,MARITIMA,"176.614,00"
2020,3,Paraguai,Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais,Santa Catarina,RODOVIARIA,"176.610,00"
